"
                Code
            ","
                Title
            ","
                Type
            ","
                Career
            ","
                Units
            "
BMSY-MIN,Biomedical Systems,Minor,Undergraduate,24
COMPF-MIN,Computational Foundations,Minor,Undergraduate,24
CSFN-MIN,Computer Science Foundations,Minor,Undergraduate,24
ELCO-MIN,Electronic and Communication Systems,Minor,Undergraduate,24
ENGS-MIN,Engineering Science,Minor,Undergraduate,24
NEWM-MIN,IT in New Media,Minor,Undergraduate,24
INPP-MIN,Innovation and Professional Practice,Minor,Undergraduate,24
MMSY-MIN,Mechanical and Material Systems,Minor,Undergraduate,24
MTSY-MIN,Mechatronic Systems,Minor,Undergraduate,24
PHOT-MIN,Photonic Systems,Minor,Undergraduate,24
RENE-MIN,Renewable Energy Systems,Minor,Undergraduate,24
SUSY-MIN,Sustainable Systems,Minor,Undergraduate,24
