"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
ENVS3019,Advanced Remote Sensing and GIS,"Second Semester, 2018",Undergraduate,6,In Person
ENVS6319,Advanced Remote Sensing and GIS,"Second Semester, 2018",Postgraduate,6,In Person
PSYC3018,Advanced Research Methods,"Second Semester, 2018",Undergraduate,6,In Person
BIOL8702,Advanced Research Techniques,"First Semester, 2018",Postgraduate,12,In Person
SKRT3003,Advanced Sanskrit Literature B,"Second Semester, 2018",Undergraduate,6,In Person
SKRT6003,Advanced Sanskrit Literature B,"Second Semester, 2018",Postgraduate,6,Online
SOCY9002,Advanced Social Research Methods,"Second Semester, 2018",Postgraduate,6,In Person
SOCY9002,Advanced Social Research Methods,"First Semester, 2018",Postgraduate,6,In Person
SOCR8204,Advanced Social Science Approaches to Inform Policy Development and Service Delivery,"Winter Session, 2018",Postgraduate,6,In Person
LING6033,Advanced Sociophonetics,"First Semester, 2018",Postgraduate,6,In Person
LING3033,Advanced Sociophonetics,"First Semester, 2018",Undergraduate,6,In Person
SPAN6510,Advanced Spanish Topics in Language and Culture,"Second Semester, 2018",Postgraduate,6,In Person
SPAN3030,Advanced Spanish topics in Language and Culture,"Second Semester, 2018",Undergraduate,6,In Person
STAT7006,Advanced Stochastic Processes,"Second Semester, 2018",Postgraduate,6,In Person
STAT3006,Advanced Stochastic Processes,"Second Semester, 2018",Undergraduate,6,In Person
SCNC2101,Advanced Studies 1,"Summer Session, 2018",Undergraduate,6,In Person
SCNC2101,Advanced Studies 1,"Winter Session, 2018",Undergraduate,6,In Person
SCNC2101,Advanced Studies 1,"First Semester, 2018",Undergraduate,6,In Person
SCNC2101,Advanced Studies 1,"Autumn Session, 2018",Undergraduate,6,In Person
SCNC2101,Advanced Studies 1,"Second Semester, 2018",Undergraduate,6,In Person
SCNC2101,Advanced Studies 1,"Spring Session, 2018",Undergraduate,6,In Person
ARTS1101,Advanced Studies 1: Thinking Research,"First Semester, 2018",Undergraduate,6,In Person
SCNC2102,Advanced Studies 2,"First Semester, 2018",Undergraduate,6,In Person
SCNC2102,Advanced Studies 2,"Spring Session, 2018",Undergraduate,6,In Person
SCNC2102,Advanced Studies 2,"Winter Session, 2018",Undergraduate,6,In Person
SCNC2102,Advanced Studies 2,"Summer Session, 2018",Undergraduate,6,In Person
SCNC2102,Advanced Studies 2,"Autumn Session, 2018",Undergraduate,6,In Person
SCNC2102,Advanced Studies 2,"Second Semester, 2018",Undergraduate,6,In Person
ARTS1102,Advanced Studies 2: Doing Research,"Second Semester, 2018",Undergraduate,6,In Person
ARTS2101,Advanced Studies 3,"First Semester, 2018",Undergraduate,6,In Person
ARTS2101,Advanced Studies 3,"Spring Session, 2018",Undergraduate,6,In Person
SCNC2103,Advanced Studies 3,"Winter Session, 2018",Undergraduate,6,In Person
ARTS2101,Advanced Studies 3,"Autumn Session, 2018",Undergraduate,6,In Person
ARTS2101,Advanced Studies 3,"Summer Session, 2018",Undergraduate,6,In Person
SCNC2103,Advanced Studies 3,"First Semester, 2018",Undergraduate,6,In Person
ARTS2101,Advanced Studies 3,"Winter Session, 2018",Undergraduate,6,In Person
ARTS2101,Advanced Studies 3,"Second Semester, 2018",Undergraduate,6,In Person
SCNC2103,Advanced Studies 3,"Summer Session, 2018",Undergraduate,6,In Person
SCNC2103,Advanced Studies 3,"Second Semester, 2018",Undergraduate,6,In Person
SCNC2103,Advanced Studies 3,"Autumn Session, 2018",Undergraduate,6,In Person
