"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
ARCH8042,Archaeological Science Internship,"First Semester, 2018",Postgraduate,6,In Person
ARCH8030,Archaeological Science Research Project 1,"First Semester, 2018",Postgraduate,6,In Person
ARCH8031,Archaeological Science Research Project 2,"First Semester, 2018",Postgraduate,6,In Person
ARCH6030,Archaeology of Ritual and Religion,"First Semester, 2018",Postgraduate,6,In Person
ARTH8014,Art Museum Internship: Collection Management,"First Semester, 2018",Postgraduate,6,In Person
ARTH6044,Art and Its Context: Materials Techniques Display,"First Semester, 2018",Postgraduate,6,In Person
ARTH6052,Art of the Modern Print,"First Semester, 2018",Postgraduate,6,In Person
COMP6320,Artificial Intelligence,"First Semester, 2018",Postgraduate,6,In Person
ARTS8101,Arts & Social Sciences: Research methods and techniques,"First Semester, 2018",Postgraduate,6,In Person
INTR8022,Asia Pacific Security,"First Semester, 2018",Postgraduate,6,In Person
FINM7045,Asian Capital Markets,"First Semester, 2018",Postgraduate,6,In Person
ASTR8001,Astronomy and Astrophysics Research Project,"First Semester, 2018",Postgraduate,3,In Person
ASTR8010,Astrophysics Research Project,"First Semester, 2018",Postgraduate,6,In Person
BUSN7054,Auditing and Assurance Services,"First Semester, 2018",Postgraduate,6,In Person
INDG8004,Australian Indigenous Policy,"First Semester, 2018",Postgraduate,6,In Person
INDG8005,Australian Indigenous Policy (Advanced),"First Semester, 2018",Postgraduate,12,In Person
ANIP6505,Australian National Internships Program B,"First Semester, 2018",Postgraduate,12,In Person
ANIP6507,Australian National Internships Program D,"First Semester, 2018",Postgraduate,24,In Person
ANIP6503,Australian National Internships Program Internship A (Graduate),"First Semester, 2018",Postgraduate,6,In Person
LAWS6105,Australian Public Law,"First Semester, 2018",Postgraduate,6,In Person
BIOL6201,Big Questions in Biology,"First Semester, 2018",Postgraduate,6,In Person
COMP8420,Bio-inspired Computing: Applications and Interfaces,"First Semester, 2018",Postgraduate,6,In Person
BIOL6171,Biochemistry and Nutrition,"First Semester, 2018",Postgraduate,6,In Person
BIOL6035,"Biology 1: Evolution, Ecology and Genetics","First Semester, 2018",Postgraduate,6,In Person
BIOL8704,Biology Literature Research Project,"First Semester, 2018",Postgraduate,6,In Person
BIOL8706,Biology Research Project,"First Semester, 2018",Postgraduate,6,In Person
STAT8003,Biostatistics,"First Semester, 2018",Postgraduate,6,In Person
POPH8101,Biostatistics in Population Health,"First Semester, 2018",Postgraduate,6,In Person
CHMD8022,Biotechnologies in Biomedicine,"First Semester, 2018",Postgraduate,6,In Person
MKTG7027,Brand Strategy,"First Semester, 2018",Postgraduate,6,In Person
ARCH6056,Britons and Romans: The Archaeology of the Western Roman Empire,"First Semester, 2018",Postgraduate,6,In Person
MGMT7153,Building Individual Leadership Capacity,"First Semester, 2018",Postgraduate,6,In Person
BURM6002,Burmese 1,"First Semester, 2018",Postgraduate,6,In Person
BURM6101,Burmese 3,"First Semester, 2018",Postgraduate,6,In Person
INFS8210,Business Analytics for Managers,"First Semester, 2018",Postgraduate,6,In Person
BUSN7057,Business Association Law,"First Semester, 2018",Postgraduate,6,In Person
ECON8069,Business Economics,"First Semester, 2018",Postgraduate,6,In Person
MGMT8242,Business Growth Strategies,"First Semester, 2018",Postgraduate,6,In Person
CHIN6201,Cantonese 1,"First Semester, 2018",Postgraduate,6,In Person
IDEC8023,Case Studies in Applied Econometrics,"First Semester, 2018",Postgraduate,6,In Person
DIPL8003,Case Studies in Diplomacy,"First Semester, 2018",Postgraduate,6,In Person
NEUR6101,Cellular Neuroscience,"First Semester, 2018",Postgraduate,6,In Person
ASIA6014,"China Now: Discourse, Media and Culture","First Semester, 2018",Postgraduate,6,In Person
CHIN6211,Chinese for Native Speakers A,"First Semester, 2018",Postgraduate,6,In Person
CHIN6216,Chinese-English Interpreting: Methodology and Practice,"First Semester, 2018",Postgraduate,6,In Person
CLAS8019,Classics Methods and Evidence,"First Semester, 2018",Postgraduate,12,In Person
PSYC8101,Clinical Coursework I,"First Semester, 2018",Postgraduate,12,In Person
PSYC8103,Clinical Coursework III,"First Semester, 2018",Postgraduate,12,In Person
PSYC8201,Clinical Field Placement I,"First Semester, 2018",Postgraduate,6,In Person
PSYC8202,Clinical Field Placement II,"First Semester, 2018",Postgraduate,6,In Person
PSYC8203,Clinical Field Placement III,"First Semester, 2018",Postgraduate,6,In Person
PSYC8204,Clinical Field Placement IV,"First Semester, 2018",Postgraduate,6,In Person
PSYC8301,Clinical Research I,"First Semester, 2018",Postgraduate,6,In Person
PSYC8302,Clinical Research II,"First Semester, 2018",Postgraduate,6,In Person
PSYC8303,Clinical Research III,"First Semester, 2018",Postgraduate,6,In Person
PSYC8304,Clinical Research IV,"First Semester, 2018",Postgraduate,6,In Person
LAWS6267,Clinical Youth Law Program,"First Semester, 2018",Postgraduate,6,In Person
BUSN8801,Commerce Research Report,"First Semester, 2018",Postgraduate,6,In Person
LAWS8131,Commercial Drafting,"First Semester, 2018",Postgraduate,6,Online
BUSN7052,Commercial Law,"First Semester, 2018",Postgraduate,6,In Person
SCOM8014,Communicating Science with the Public,"First Semester, 2018",Postgraduate,6,In Person
LAWS6268,Community Law Clinical Program,"First Semester, 2018",Postgraduate,6,In Person
LAWS8654,Comparative Migration Law,"First Semester, 2018",Postgraduate,6,Online
POLS8039,Comparative Political Behaviour,"First Semester, 2018",Postgraduate,6,In Person
COMP6331,Computer Networks,"First Semester, 2018",Postgraduate,6,In Person
COMP6300,Computer Organisation and Program Execution,"First Semester, 2018",Postgraduate,6,In Person
COMP8830,Computer Science Internship,"First Semester, 2018",Postgraduate,6,In Person
ENGN6528,Computer Vision,"First Semester, 2018",Postgraduate,6,In Person
COMP8715,Computing Project,"First Semester, 2018",Postgraduate,6,In Person
COMP8800,Computing Research Project,"First Semester, 2018",Postgraduate,12,In Person
COMP6719,Computing for Engineering Simulation,"First Semester, 2018",Postgraduate,6,In Person
BIOL8001,Consulting in Quantitative Biology,"First Semester, 2018",Postgraduate,6,In Person
MKTG7050,Consumer Behaviour & Analysis,"First Semester, 2018",Postgraduate,6,In Person
ANTH8103,Contemporary Development Theory,"First Semester, 2018",Postgraduate,12,In Person
BUSN7005,Contemporary Issues in Accounting,"First Semester, 2018",Postgraduate,6,In Person
LAWS8653,Contemporary Issues in Migration Law,"First Semester, 2018",Postgraduate,6,Online
ENVS8015,Contemporary Perspectives in Environmental Science,"First Semester, 2018",Postgraduate,6,In Person
FREN6503,Continuing French I,"First Semester, 2018",Postgraduate,6,In Person
PORT6503,Continuing Portuguese I,"First Semester, 2018",Postgraduate,6,In Person
SPAN6503,Continuing Spanish I,"First Semester, 2018",Postgraduate,6,In Person
FINM7003,Continuous Time Finance,"First Semester, 2018",Postgraduate,6,In Person
LAWS6104,Contracts,"First Semester, 2018",Postgraduate,6,In Person
BUSN7050,Corporate Accounting,"First Semester, 2018",Postgraduate,6,In Person
BUSN7049,Corporate Financial Reporting,"First Semester, 2018",Postgraduate,6,In Person
BUSN7045,Corporate Governance,"First Semester, 2018",Postgraduate,6,In Person
BUSN8145,Corporate Governance: Research Preparation,"First Semester, 2018",Postgraduate,6,In Person
LAWS6203,Corporations Law,"First Semester, 2018",Postgraduate,6,In Person
VCPG6004,Creating Impact,"First Semester, 2018",Postgraduate,6,In Person
MUSI8011,Creative Practice as Research,"First Semester, 2018",Postgraduate,6,In Person
ENGL8021,"Creative Reading: Topics in Theory, Methodology and Interpretation","First Semester, 2018",Postgraduate,6,In Person
ENGL6026,Creative Writing 3 Advanced Fiction,"First Semester, 2018",Postgraduate,6,In Person
HIST6232,Crime and Justice: Historical Dilemmas,"First Semester, 2018",Postgraduate,6,In Person
LAWS6106,Criminal Law and Procedure,"First Semester, 2018",Postgraduate,6,In Person
ANTH8030,Critically Assessing Contemporary Development Practice,"First Semester, 2018",Postgraduate,6,In Person
LING6021,Cross Cultural Communication,"First Semester, 2018",Postgraduate,6,Online
ANTH6515,"Crossing Borders: Migration, Identity and Livelihood","First Semester, 2018",Postgraduate,6,In Person
HUMN8007,Cultural and Environmental Heritage Research Project,"First Semester, 2018",Postgraduate,6,In Person
HUMN8018,Cultural and Environmental Heritage: Extended Research Project,"First Semester, 2018",Postgraduate,12,In Person
ANTH6009,Culture and Development,"First Semester, 2018",Postgraduate,6,In Person
CHMD8019,"Culture, Health, Medicine Internship","First Semester, 2018",Postgraduate,6,In Person
ANTH6017,"Culture, Social Justice and Aboriginal Society Today","First Semester, 2018",Postgraduate,6,In Person
CRIM6010,Cybercrime: an introduction,"First Semester, 2018",Postgraduate,6,In Person
EMSC8023,Data Analysis,"First Semester, 2018",Postgraduate,6,In Person
BIAN8008,Data Analysis and Methods in Biological Anthropology,"First Semester, 2018",Postgraduate,6,In Person
COMP8410,Data Mining,"First Semester, 2018",Postgraduate,6,In Person
HUMN8029,Debates and Issues in the Humanities,"First Semester, 2018",Postgraduate,6,In Person
JPNS6102,Debating Japan: Contemporary Intellectual Debate,"First Semester, 2018",Postgraduate,6,In Person
MGMT7061,Delivering Team Results,"First Semester, 2018",Postgraduate,6,In Person
POLS8019,Democracy and its Discontents,"First Semester, 2018",Postgraduate,6,In Person
ASIA6070,Democracy in Southeast Asia,"First Semester, 2018",Postgraduate,6,In Person
DESN8001,Design Inquiry: Application of Research,"First Semester, 2018",Postgraduate,6,In Person
DESN6010,"Design Practice: Engagement, Internship and Entrepreneurship","First Semester, 2018",Postgraduate,6,In Person
POGO8072,Development Theories and Themes,"First Semester, 2018",Postgraduate,6,In Person
LING6023,Dictionaries and Dictionary-Making,"First Semester, 2018",Postgraduate,6,In Person
